"address";"address"
"R. Serra de Bragança";2
"R. Antônio Cardoso Nogueira";2
"R. Celso de Azevedo Marques";2
"R. Serra dos Dois Irmãos";2
"R. Cabo Romeu Casagrande";2
"R. Cabral de Menezes";2
"R. Célso Barbosa Lima";2
"R. Cachoeira";2
"R. Luís Mateus";2
"R. Luís José Junqueira Freire";2
"R. Paulo Orozimbo";2
"R. Cachoeira Poraquê";2
"R. Manduri";2
"R. Peça Pastoral";2
"R. Florêncio de Abreu";2
"R. Cuba";2
"R. Bento José Borba";2
"R. Brás Píres";2
"R. Estado do Ceará";2
"R. Bruno Taut";2
"R. David Zeiger";2
"R. Mario Amorim";2
"R. Morro Crispim da Costa";2
"R. Nélson Gama de Oliveira";2
"R. Bernardino Antunes Silva";2
"R. Espumas";2
"R. Edimundo Audran";2
"R. Espanha";2
"R. Oli Debastiani";2
"R. Maranhão";2
"R. Prof. Oscár Barreto Filho";2
"R. Maria do Carmo Gomes";2
"R. Prof.  Ernest Marcus";2
"R. Manuel da Costa Valê";2
"R. Bucuituba";2
"R. Ouro Fino";2
"R. Belgrado";2
"R. Conselheiro Torres Homem";2
"R. Col. da Glória";2
"R. Estéfano Filipini";2
"R. Relíquia";2
"R. Caramimuã";2
"R. Benjamin Pereira Alcântara";2
"R. Mocoim";2
"R. Diana";2
"R. Eleonora Cintra";2
"R. Diamantina";2
"R. Mario Barbosa Rodrigues";2
"R. Pais de Araújo";2
"R. Marcelino Champagnata";2
"R. Ermelinda Gonçalves Vaders";2
"R. Eduardo Zani";2
"R. Edson Danillo Dotto";2
"R. Pte. Alta";2
"R. Botucatu";2
"R. Prudêncio de Jesus";2
"R. Cunha Porã";2
"R. Morro das Pedras";2
"R. Dona Avelina";2
"R. Capituba";2
"R. Cap. Alberto Mendes Júnior";2
"R. Brasília Pera Brizola";2
"R. Brasílio Luz";2
"R. Cap. João Noronha";2
"R. Eng. César Polilo";2
"R. Primeiro de Agosto";2
"R. Dr. Adolfo Melo Júnior";2
"R. Custódia Maria de Jesus";2
"R. Ptolomeu";2
"R. Padre Antônio Tomás";2
"R. Bom Sucesso";2
"R. Marcilio Dias";2
"R. Eng.  Tomás Whately";2
"R. Susana Rodrigues";2
"R. Dr. Geraldo de Queiroz Ferreira";2
"R. Boa Visão";2
"R. Cap. Pacheco e Chaves";2
"R. Dep. Lacerda Franco";2
"R. Des. Ferreira França";2
"R. Primeiro de Maio";2
"R. Cap. Rangel";2
"R. Cumaru";2
"R. Píres da Mota";2
"R. Eng.  Guaracy Torres";2
"R. Caraíbas";2
"R. Elías Nagem Haidamus";2
"R. Pio XII";2
"R. Bailique";2
"R. Min. Godói";2
"R. Emílio Monassa";2
"R. Pio XI";2
"R. Baltazar Nunes";2
"R. Baltazar Águila";2
"R. Bandeira de Aracambi";2
"R. Manoel Jácomo";2
"R. Cantagalo";2
"R. Dona Escolástica Melchert da Fonseca";2
"R. Nossa Sra. da Saúde";2
"R. Calim Eid";2
"R. Carlos Gomes";2
"R. Cristalino Rolim de Freitas";2
"R. Baiacu";2
"R. Rosa Maria";2
"R. Eusímio da Cruz Batista";2
"R. Sagitário";2
"R. Cabo Joel Leite";2
"R. Augusto Tolle";2
